"","resolution","neighbor","Z","reference","id"
"1",50,14,-0.168531083434277,"14_near_14",NA
"2",250,14,-1.12940687228068,"14_near_14",NA
"3",500,14,-1.07258541102062,"14_near_14",NA
"4",1000,14,-3.55837509431994,"14_near_14",NA
"5",2500,14,-4.63059987938569,"14_near_14",NA
"6",5000,14,-3.38172163533786,"14_near_14",NA
"7",50,18,0.168531083434279,"14_near_14",NA
"8",250,18,1.12940687228068,"14_near_14",NA
"9",500,18,1.07258541102062,"14_near_14",NA
"10",1000,18,3.55837509431994,"14_near_14",NA
"11",2500,18,4.63059987938569,"14_near_14",NA
"12",5000,18,3.38172163533786,"14_near_14",NA
"13",50,14,NA,"18_near_14",NA
"14",250,14,NA,"18_near_14",NA
"15",500,14,NA,"18_near_14",NA
"16",1000,14,NA,"18_near_14",NA
"17",2500,14,NA,"18_near_14",NA
"18",5000,14,NA,"18_near_14",NA
"19",50,18,NA,"18_near_14",NA
"20",250,18,NA,"18_near_14",NA
"21",500,18,NA,"18_near_14",NA
"22",1000,18,NA,"18_near_14",NA
"23",2500,18,NA,"18_near_14",NA
"24",5000,18,NA,"18_near_14",NA
"25",50,14,0,"14_near_18",NA
"26",250,14,1.94676629051846,"14_near_18",NA
"27",500,14,0.442272058622623,"14_near_18",NA
"28",1000,14,-0.617872463997534,"14_near_18",NA
"29",2500,14,1.81618324886962,"14_near_18",NA
"30",5000,14,1.55176035488891,"14_near_18",NA
"31",50,18,0,"14_near_18",NA
"32",250,18,-1.94676629051846,"14_near_18",NA
"33",500,18,-0.442272058622624,"14_near_18",NA
"34",1000,18,0.617872463997532,"14_near_18",NA
"35",2500,18,-1.81618324886962,"14_near_18",NA
"36",5000,18,-1.55176035488892,"14_near_18",NA
"37",50,14,0.515136104607026,"18_near_18",NA
"38",250,14,3.49067112631047,"18_near_18",NA
"39",500,14,1.37570662030721,"18_near_18",NA
"40",1000,14,1.4462366781065,"18_near_18",NA
"41",2500,14,3.02485543047809,"18_near_18",NA
"42",5000,14,3.22524049278144,"18_near_18",NA
"43",50,18,-0.515136104607024,"18_near_18",NA
"44",250,18,-3.49067112631048,"18_near_18",NA
"45",500,18,-1.37570662030721,"18_near_18",NA
"46",1000,18,-1.4462366781065,"18_near_18",NA
"47",2500,18,-3.02485543047809,"18_near_18",NA
"48",5000,18,-3.22524049278144,"18_near_18",NA
